ASIN,Brand,Title,Retail_Price_USD,Deal_Price_USD,Discount_Percent,Canonical_Deal_URL,Last_Verified_At
B0CQ9VHBH6,Dickies,"Dickies Men's Skinny Straight Double Knee Work Pants - Durable, Slim Fit, Industrial Uniform & Workwear,English Red, 30W x 32L",34.99,4.53,87,https://thefashiondeals.com/deal/dickies-mens-skinny-straight-double-knee-work-pants-durable-slim-fit-industrial-uniform-workwearenglish-red-30w-b0cq9vhbh6?utm_source=weekly_index_csv,"2026-09-20 21:00:48"
B07PV2TKMY,OLEVS,"OLEVS Gold Watches for Women Luxury Dress Analog Lady Watch for Ladies Stainless Steel Waterproof Luminous Elegant Female Wrist Watch",256.00,33.77,87,https://thefashiondeals.com/deal/olevs-gold-watches-for-women-luxury-dress-analog-lady-watch-for-ladies-stainless-steel-waterproof-luminous-elegant-femal-b07pv2tkmy?utm_source=weekly_index_csv,"2026-09-20 21:00:45"
B0FLF7BQJ3,"La Blanca","La Blanca Women's Island Goddess Plunge One Piece Swimsuit, Calypso, 14",135.00,19.32,86,https://thefashiondeals.com/deal/la-blanca-womens-island-goddess-plunge-one-piece-swimsuit-calypso-14-b0flf7bqj3?utm_source=weekly_index_csv,"2026-09-21 02:24:58"
B0F76XQQ8X,DOCKERS,"Dockers® Men's Signature Shirt Long Sleeve Classic Fit with Stain Defender®, Black, Small",60.00,8.37,86,https://thefashiondeals.com/deal/dockers-mens-signature-shirt-long-sleeve-classic-fit-with-stain-defender-black-small-b0f76xqq8x?utm_source=weekly_index_csv,"2026-09-21 02:04:00"
B07Z8ZCTXG,OLEVS,"OLEVS Watch Men Gold Watches for Men Luxury Big Face Metal Dress Watches",298.77,42.77,86,https://thefashiondeals.com/deal/olevs-watch-men-gold-watches-for-men-luxury-big-face-metal-dress-watches-b07z8zctxg?utm_source=weekly_index_csv,"2026-09-20 21:00:49"
B0F8TY1PZK,OLEVS,"OLEVS Black Watches for Men Luxury Tonneau Square Skeleton Dress Mens Watch",368.00,49.77,86,https://thefashiondeals.com/deal/olevs-black-watches-for-men-luxury-tonneau-square-skeleton-dress-mens-watch-b0f8ty1pzk?utm_source=weekly_index_csv,"2026-09-20 21:00:48"
B0D7C5SNB6,OLEVS,"OLEVS Blue Men's Analog Dress Watch – Luxury Black Face Gift for Men",298.77,42.77,86,https://thefashiondeals.com/deal/olevs-blue-mens-watches-black-analog-dress-gift-nice-luxury-watches-for-men-b0d7c5snb6?utm_source=weekly_index_csv,"2026-09-20 21:00:49"
B0D7C6CRNC,OLEVS,"OLEVS Men's Black Analog Casual Luxury Watch – Big Face, Classic Style",298.77,42.77,86,https://thefashiondeals.com/deal/olevs-watch-men-black-watches-for-men-analog-casual-big-luxury-mens-watches-b0d7c6crnc?utm_source=weekly_index_csv,"2026-09-20 21:00:48"
B0FN68V3YJ,Gaiam,"Gaiam Men’s Power Long Sleeve Crewneck Top, Standard Fit, Stretch Heavyweight Fleece Material, Biking Red Heather, Large",32.50,4.82,85,https://thefashiondeals.com/deal/gaiam-mens-power-long-sleeve-crewneck-top-standard-fit-stretch-heavyweight-fleece-material-biking-red-heather-large-b0fn68v3yj?utm_source=weekly_index_csv,"2026-09-21 02:25:04"
B0FHJJ73GR,"Gentle Souls by Kenneth Cole","Gentle Souls Atlas Flat Burgundy Suede",159.00,24.24,85,https://thefashiondeals.com/deal/gentle-souls-atlas-flat-burgundy-suede-b0fhjj73gr?utm_source=weekly_index_csv,"2026-09-21 02:08:09"
B0FH7PRKL9,"Beach Riot","Beach Riot Women's Soleil Bikini Bottoms, Guava Jelly Crochet, S",98.00,14.70,85,https://thefashiondeals.com/deal/beach-riot-womens-soleil-bikini-bottoms-guava-jelly-crochet-s-b0fh7prkl9?utm_source=weekly_index_csv,"2026-09-21 02:08:08"
B0BXBRMYW8,Gerber,"Gerber Baby and Toddler Girls Swim Cover Up, Navy, 12 Months",24.99,3.78,85,https://thefashiondeals.com/deal/gerber-baby-and-toddler-girls-swim-cover-up-navy-12-months-b0bxbrmyw8?utm_source=weekly_index_csv,"2026-09-20 21:00:49"
B0DQXS9JF7,OLEVS,"OLEVS Watch Men Gold Watches for Men Classic Mens Luxury Watches Waterproof",298.77,43.77,85,https://thefashiondeals.com/deal/olevs-watch-men-gold-watches-for-men-classic-mens-luxury-watches-waterproof-b0dqxs9jf7?utm_source=weekly_index_csv,"2026-09-20 21:00:21"
B07X7MC5LQ,BENYAR,"BENYAR Men's Waterproof Chronograph Luminous Date Watch with Stainless Steel Bracelet – Classic Large Dial Analogue Quartz – Ideal Gift in Brown, Black or Blue",298.99,43.98,85,https://thefashiondeals.com/deal/by-benyar-mens-chronograph-waterproof-luminous-date-watches-stainless-steel-bracelet-large-dial-classic-business-fashio-b07x7mc5lq?utm_source=weekly_index_csv,"2026-09-20 21:00:49"
B07VDF1Q38,OLEVS,"OLEVL Men's Black Luxury Analog Watch – Silver Dial, Waterproof, Elegant Timepiece",298.77,43.77,85,https://thefashiondeals.com/deal/olevs-watch-men-black-watches-for-men-silver-luxury-analog-waterproof-b07vdf1q38?utm_source=weekly_index_csv,"2026-09-20 21:00:49"
B0FWGPPTTN,"Petal & Pup","Petal & Pup Farica Gingham Midi Skirt - Cream XL",79.00,12.43,84,https://thefashiondeals.com/deal/petal-pup-farica-gingham-midi-skirt-cream-xl-b0fwgppttn?utm_source=weekly_index_csv,"2026-09-21 02:26:45"
B0FQ72HFV2,"The Children's Place","The Children's Place,Girls,Dressy Dress, Short SleeveVanilla Wafer,12",54.95,8.99,84,https://thefashiondeals.com/deal/the-childrens-placegirlsdressy-dress-short-sleevevanilla-wafer12-b0fq72hfv2?utm_source=weekly_index_csv,"2026-09-21 02:25:10"
B0BMMB5M8F,"Steve Madden","Steve Madden Apparel Sophia-Rose Dress, Black,6",89.00,14.14,84,https://thefashiondeals.com/deal/steve-madden-apparel-sophia-rose-dress-black6-b0bmmb5m8f?utm_source=weekly_index_csv,"2026-09-21 02:00:40"
B0G1TYLXMP,"SOLY HUX","SOLY HUX Women's Off the Shoulder Sweater Dress Long Sleeve Knit Loose Mini Dresses Pure Light Yellow X-Small",49.99,7.99,84,https://thefashiondeals.com/deal/soly-hux-womens-off-the-shoulder-sweater-dress-long-sleeve-knit-loose-mini-dresses-pure-light-yellow-x-small-b0g1tylxmp?utm_source=weekly_index_csv,"2026-09-20 21:00:49"
B0GMDQ28M4,Oakley,"Oakley Mens Soho Gen Hoodie, Pebble, X-Large",135.00,23.37,83,https://thefashiondeals.com/deal/oakley-mens-soho-gen-hoodie-pebble-x-large-b0gmdq28m4?utm_source=weekly_index_csv,"2026-09-21 02:30:57"
B0FKLS2DHY,"Outdoor Voices","OUTDOOR VOICES Lightspeed 3"" Short",68.00,11.72,83,https://thefashiondeals.com/deal/outdoor-voices-lightspeed-3-short-b0fkls2dhy?utm_source=weekly_index_csv,"2026-09-21 02:24:56"
B0F5W6DMSN,"Eastside Golf","Eastside Golf Men’s Core Fleece Swingman Logo Hoodie, Cotton-Blend Pullover with Embroidered Logo and Classic-Fit Layer",145.00,24.85,83,https://thefashiondeals.com/deal/eastside-golf-mens-core-fleece-swingman-logo-hoodie-cotton-blend-pullover-with-embroidered-logo-and-classic-fit-layer-b0f5w6dmsn?utm_source=weekly_index_csv,"2026-09-21 02:03:59"
B0DK4F2KX4,Columbia,"Columbia Mens Pitchstone Outdoor Pant, Ancient Fossil, 54 x 34",70.00,11.66,83,https://thefashiondeals.com/deal/columbia-mens-pitchstone-outdoor-pant-ancient-fossil-54-x-34-b0dk4f2kx4?utm_source=weekly_index_csv,"2026-09-21 02:03:47"
B0CR1SBRNT,"Sports Illustrated","Sports Illustrated Women's Scoop Hipster, Storm, Medium",30.00,5.13,83,https://thefashiondeals.com/deal/sports-illustrated-womens-scoop-hipster-storm-medium-b0cr1sbrnt?utm_source=weekly_index_csv,"2026-09-21 02:02:08"
B01DZWYV8Q,"Leg Avenue","Leg Avenue unisex adult Sized Costumes, Black, Medium-Large US",42.99,7.38,83,https://thefashiondeals.com/deal/leg-avenue-unisex-adult-sized-costumes-black-medium-large-us-b01dzwyv8q?utm_source=weekly_index_csv,"2026-09-21 01:58:39"
B0GJG1PVCG,"Kanu Surf","Kanu Surf Solid Banded One Piece",25.99,4.74,82,https://thefashiondeals.com/deal/kanu-surf-solid-banded-one-piece-b0gjg1pvcg?utm_source=weekly_index_csv,"2026-09-21 02:30:54"
B0DGZ3HSPY,"kate spade new york","kate spade new york Rosette Solids Bandeau Bra Top, Cream, Large",130.00,23.08,82,https://thefashiondeals.com/deal/kate-spade-new-york-rosette-solids-bandeau-bra-top-cream-large-b0dgz3hspy?utm_source=weekly_index_csv,"2026-09-20 21:00:52"
B0CP4CSHL2,"Carve Designs","Carve Designs Woman's Tatum Gauze Top",72.00,12.65,82,https://thefashiondeals.com/deal/carve-designs-womans-tatum-gauze-top-b0cp4cshl2?utm_source=weekly_index_csv,"2026-09-21 03:56:32"
B08DBSSRC2,"The Children's Place","The Children’s Place Boys French Terry Casual Shorts 3‑Pack – Small US, Black, Smoke Gray, New Navy",50.95,9.32,82,https://thefashiondeals.com/deal/the-childrens-place-boys-french-terry-casual-shorts-blacksmoke-graynew-navy-3-pack-small-us-b08dbssrc2?utm_source=weekly_index_csv,"2026-09-20 21:00:52"
B0DSGN94P5,Vince,"Vince Women's Marcela Sandals, Gold, 8 Medium US",350.00,66.73,81,https://thefashiondeals.com/deal/vince-womens-marcela-sandals-gold-8-medium-us-b0dsgn94p5?utm_source=weekly_index_csv,"2026-09-20 21:00:52"
B0FCLP4493,OLEVS,"OLEVS Wood Luxury Dress Chronograph Watch for Men – 42mm Large Dial, Stainless Steel, Waterproof, Vintage Style Gift",338.00,62.66,81,https://thefashiondeals.com/deal/olevs-watches-for-men-wood-luxury-dress-chronograph-wirst-watches-42mm-large-dial-stainless-steel-waterproof-analog-quar-b0fclp4493?utm_source=weekly_index_csv,"2026-09-20 21:00:41"
B0GSR9T48H,Langyiwee,"Langyiwee 3 Pack Girls Linen Shorts 5-14 Years, 3-Color Set, 13-14 Years",36.99,7.29,80,https://thefashiondeals.com/deal/langyiwee-3-pack-girls-linen-shorts-5-14-years-3-color-set-13-14-years-b0gsr9t48h?utm_source=weekly_index_csv,"2026-09-21 02:31:00"
B0FNNHD8KH,HEAD,"HEAD Men’s Zephyr Mesh Tank Top, Standard Fit, Lightweight and Breathable Mesh Material, Tomato, Small",29.69,6.08,80,https://thefashiondeals.com/deal/head-mens-zephyr-mesh-tank-top-standard-fit-lightweight-and-breathable-mesh-material-tomato-small-b0fnnhd8kh?utm_source=weekly_index_csv,"2026-09-21 02:25:06"
B0FLLHC8VN,"Maxine of Hollywood","Maxine of Hollywood Women's Shirred Bandeau Swim Dress One Piece Swimsuit, White, 16",92.00,18.19,80,https://thefashiondeals.com/deal/maxine-of-hollywood-womens-shirred-bandeau-swim-dress-one-piece-swimsuit-white-16-b0fllhc8vn?utm_source=weekly_index_csv,"2026-09-21 02:24:59"
B0F2BFS3DS,GUESS,"GUESS Mens Eco Fletcher Linen Drawcord Short, Quicksand Multi, 31",89.00,17.80,80,https://thefashiondeals.com/deal/guess-mens-eco-fletcher-linen-drawcord-short-quicksand-multi-31-b0f2bfs3ds?utm_source=weekly_index_csv,"2026-09-21 02:03:54"
B08H4JLMR4,"Cutter & Buck","Cutter & Buck Men's Polo, Bordeaux, XXXL",45.00,8.87,80,https://thefashiondeals.com/deal/cutter-buck-mens-polo-bordeaux-xxxl-b08h4jlmr4?utm_source=weekly_index_csv,"2026-09-21 01:58:46"
B087T6BDZV,Kasper,"Kasper Women's Stretch Slim-Leg Pant",79.00,15.51,80,https://thefashiondeals.com/deal/kasper-womens-stretch-slim-leg-pant-b087t6bdzv?utm_source=weekly_index_csv,"2026-09-21 01:58:45"
B0DPJBD9XP,"Lucky Brand","Lucky Brand Women's Pebina Cross Band Wedge Sandals, Black, 9 Medium",99.00,19.39,80,https://thefashiondeals.com/deal/lucky-brand-womens-pebina-cross-band-wedge-sandals-black-9-medium-b0dpjbd9xp?utm_source=weekly_index_csv,"2026-09-20 21:00:53"
B0FLF8NGXZ,"La Blanca","La Blanca Women's Island Goddess Asymmetrical Skirted Swimsuit Bottom, Lapis, 16",89.00,17.78,80,https://thefashiondeals.com/deal/la-blanca-womens-island-goddess-asymmetrical-skirted-swimsuit-bottom-lapis-16-b0flf8ngxz?utm_source=weekly_index_csv,"2026-09-20 21:00:53"
B0GS9Q4F5X,MakeMeChic,"MakeMeChic Women's Plus Size Floral Lace Tank Top Sleeveless Crew Neck Crop Boho Vacation Tops White XX-Large Plus",28.99,5.99,79,https://thefashiondeals.com/deal/makemechic-womens-plus-size-floral-lace-tank-top-sleeveless-crew-neck-crop-boho-vacation-tops-white-xx-large-plus-b0gs9q4f5x?utm_source=weekly_index_csv,"2026-09-21 02:30:59"
